source_domain,source_type,min_source_priority,max_source_priority,row_count,day_count,heuristic_score,tier_label,tier_basis,static_prior_score,mbfc_url,mbfc_bias_rating,mbfc_factual_reporting,mbfc_credibility,mbfc_quality_score,adfontes_url,adfontes_reliability,adfontes_bias,adfontes_quality_score,allsides_url,allsides_bias_rating,external_match_count,external_reference_score,signal_useful_count,signal_cited_by_hq_count,signal_contradicted_count,signal_user_selected_count,signal_user_dismissed_count,signal_original_reporting_count,signal_duplicate_count,signal_hallucination_count,signal_total_count,signal_positive_count,signal_negative_count,reference_dynamic_adjustment,score_basis,final_source_quality_score,external_status
iheart.com,general_news,1,1,53998,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
zazoom.it,general_news,1,1,32516,26,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
indiatimes.com,general_news,1,1,28528,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
udn.com,general_news,1,1,27559,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
baomoi.com,general_news,1,1,26273,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
163.com,general_news,1,1,21797,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
sina.com.cn,general_news,1,1,21209,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
china.com,general_news,1,1,18319,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
tribunnews.com,general_news,1,1,18087,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
haberler.com,general_news,1,1,17082,27,0.55,tier_0_unknown,unknown_domain_fallback,0.0,,,,,,,,,,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,static_prior_only,0.0,static_prior_only
