source_domain,source_type,min_source_priority,max_source_priority,row_count,day_count
iheart.com,general_news,1,1,53998,27
zazoom.it,general_news,1,1,32516,26
indiatimes.com,general_news,1,1,28528,27
udn.com,general_news,1,1,27559,27
baomoi.com,general_news,1,1,26273,27
163.com,general_news,1,1,21797,27
sina.com.cn,general_news,1,1,21209,27
china.com,general_news,1,1,18319,27
tribunnews.com,general_news,1,1,18087,27
haberler.com,general_news,1,1,17082,27
inewsgr.com,general_news,1,1,17077,27
finanznachrichten.de,general_news,1,1,16265,27
dostor.org,general_news,1,1,14833,27
yahoo.com,general_news,1,1,14088,27
dailypolitical.com,general_news,1,1,13087,27
kompas.com,general_news,1,1,12884,27
globo.com,general_news,1,1,11334,27
ltn.com.tw,general_news,1,1,11274,27
tickerreport.com,general_news,1,1,11273,27
argaam.com,general_news,1,1,11248,26
prnewswire.com,general_news,1,1,11130,27
manilatimes.net,general_news,1,1,11123,27
themarketsdaily.com,general_news,1,1,10235,23
yam.com,general_news,1,1,10021,27
euronews.com,general_news,1,1,9880,27
cfi.net.cn,general_news,1,1,9657,27
merkur.de,general_news,1,1,9485,27
yahoo.com,company_specific,2,2,9403,27
naslovi.net,general_news,1,1,9333,27
index.hr,general_news,1,1,9196,27
moneycontrol.com,market_wrap,5,5,8598,27
itbear.com.cn,general_news,1,1,8463,27
news.yam.md,general_news,1,1,8295,27
cnfol.com,general_news,1,1,8089,27
hna.de,general_news,1,1,7956,27
ansa.it,general_news,1,1,7936,27
zol.com.cn,general_news,1,1,7837,27
allafrica.com,general_news,1,1,7750,27
cna.com.tw,general_news,1,1,7727,27
news.mail.ru,general_news,1,1,7565,27
vetogate.com,general_news,1,1,7369,27
thehindu.com,general_news,1,1,7360,27
larazon.es,general_news,1,1,6903,27
antaranews.com,general_news,1,1,6841,27
setn.com,general_news,1,1,6602,27
ettoday.net,general_news,1,1,6601,27
sapo.pt,general_news,1,1,6444,27
ifeng.com,general_news,1,1,6427,27
chinatimes.com,general_news,1,1,6366,27
uol.com.br,general_news,1,1,6305,27
eastmoney.com,general_news,1,1,6266,27
24tv.ua,general_news,1,1,6104,27
aninews.in,general_news,1,1,6092,27
kreiszeitung.de,general_news,1,1,5938,27
finanzen.net,general_news,1,1,5825,27
tvguide.co.uk,general_news,1,1,5735,27
az-online.de,general_news,1,1,5721,27
oem.com.mx,general_news,1,1,5653,27
newspim.com,general_news,1,1,5541,27
abc.es,general_news,1,1,5538,27
dailymail.com,general_news,1,1,5452,27
deperu.com,general_news,1,1,5389,27
newkerala.com,general_news,1,1,5340,27
aktiencheck.de,general_news,1,1,5295,27
birgun.net,general_news,1,1,5232,27
shorouknews.com,general_news,1,1,5180,27
europapress.es,general_news,1,1,5128,27
welt.de,general_news,1,1,5006,27
obozrevatel.com,general_news,1,1,4960,27
livehindustan.com,general_news,1,1,4882,27
lenta.ru,general_news,1,1,4824,27
fool.com,general_news,1,1,4819,27
miragenews.com,general_news,1,1,4803,27
dw.com,general_news,1,1,4716,27
heraldcorp.com,general_news,1,1,4697,27
elperiodico.com,general_news,1,1,4659,27
n-tv.de,general_news,1,1,4600,27
indiagazette.com,general_news,1,1,4508,27
ilpost.it,general_news,1,1,4498,27
prokerala.com,general_news,1,1,4489,27
sudouest.fr,general_news,1,1,4476,27
ria.ru,general_news,1,1,4412,27
liputan6.com,general_news,1,1,4410,27
vesti.ru,general_news,1,1,4360,27
hindustantimes.com,general_news,1,1,4350,27
edaily.co.kr,general_news,1,1,4317,27
time.mk,general_news,1,1,4309,27
insidermonkey.com,general_news,1,1,4271,27
bankingnews.gr,general_news,1,1,4265,27
investegate.co.uk,general_news,1,1,4211,23
drimble.nl,general_news,1,1,4169,27
jagran.com,general_news,1,1,4080,27
rt.com,general_news,1,1,4075,27
indianexpress.com,general_news,1,1,4071,27
quadratin.com.mx,general_news,1,1,4062,27
stockbiz.vn,general_news,1,1,4032,27
diariosigloxxi.com,general_news,1,1,4010,27
navabharat.com,general_news,1,1,4008,27
express.co.uk,general_news,1,1,3996,27
thanhnien.vn,general_news,1,1,3888,27
vietgiaitri.com,general_news,1,1,3878,27
benzinga.com,general_news,1,1,3854,27
bignewsnetwork.com,general_news,1,1,3845,27
hinews.cn,general_news,1,1,3835,27
bd-pratidin.com,general_news,1,1,3815,27
freepressjournal.in,general_news,1,1,3790,27
wenxuecity.com,general_news,1,1,3777,27
webindia123.com,general_news,1,1,3739,27
stiripesurse.ro,general_news,1,1,3732,27
dantri.com.vn,general_news,1,1,3723,27
fnnews.com,general_news,1,1,3719,27
blic.rs,general_news,1,1,3718,27
life.ru,general_news,1,1,3716,27
dailynews.co.th,general_news,1,1,3713,27
stcn.com,general_news,1,1,3697,27
politika.rs,general_news,1,1,3670,27
mersinhaber.com,general_news,1,1,3666,27
mirror.co.uk,general_news,1,1,3633,27
forbes.com,general_news,1,1,3632,27
focus.de,general_news,1,1,3599,27
baotintuc.vn,general_news,1,1,3596,27
20minutos.es,general_news,1,1,3574,27
thehindubusinessline.com,general_news,1,1,3535,27
kauno.diena.lt,general_news,1,1,3528,27
iz.ru,general_news,1,1,3510,27
elwatannews.com,general_news,1,1,3501,27
livemint.com,general_news,1,1,3481,27
24-ore.com,general_news,1,1,3455,27
aif.ru,general_news,1,1,3431,27
calcuttanews.net,general_news,1,1,3409,27
kommersant.ru,general_news,1,1,3403,27
bisnis.com,general_news,1,1,3398,27
op-online.de,general_news,1,1,3344,27
tz.de,general_news,1,1,3327,27
english.news.cn,general_news,1,1,3311,27
infobae.com,general_news,1,1,3283,27
loksatta.com,general_news,1,1,3279,27
vnexpress.net,general_news,1,1,3268,27
pr-inside.com,general_news,1,1,3260,27
ilmessaggero.it,general_news,1,1,3256,27
elconfidencial.com,general_news,1,1,3248,27
zeit.de,general_news,1,1,3212,27
iefimerida.gr,general_news,1,1,3211,27
qianlong.com,general_news,1,1,3202,27
cnn.com,general_news,1,1,3192,27
viva.co.id,general_news,1,1,3158,27
boredpanda.com,general_news,1,1,3132,27
almasryalyoum.com,general_news,1,1,3131,27
dailyinqilab.com,general_news,1,1,3106,24
come-on.de,general_news,1,1,3097,27
jornaldebrasilia.com.br,general_news,1,1,3087,27
dunya.com,general_news,1,1,3080,27
danviet.vn,general_news,1,1,3079,27
lrt.lt,general_news,1,1,3067,27
aa.com.tr,general_news,1,1,3052,27
lavozdegalicia.es,general_news,1,1,3050,27
lrytas.lt,general_news,1,1,3044,27
people.com.cn,general_news,1,1,3019,27
ladepeche.fr,general_news,1,1,3008,27
larepublica.pe,general_news,1,1,2982,27
theguardian.com,general_news,1,1,2968,27
semana.com,general_news,1,1,2959,27
nypost.com,general_news,1,1,2957,27
rttnews.com,general_news,1,1,2948,26
kenh14.vn,general_news,1,1,2945,27
tribuneindia.com,general_news,1,1,2942,27
koran-jakarta.com,general_news,1,1,2928,27
lne.es,general_news,1,1,2927,27
maville.com,general_news,1,1,2925,27
news.de,general_news,1,1,2924,27
xinhuanet.com,general_news,1,1,2923,27
jpost.com,general_news,1,1,2921,27
unn.ua,general_news,1,1,2906,27
capital.gr,general_news,1,1,2895,27
tanea.gr,general_news,1,1,2889,27
sana.sy,general_news,1,1,2871,27
bhaskar.com,general_news,1,1,2867,27
ohmynews.com,general_news,1,1,2864,27
jugantor.com,general_news,1,1,2862,27
hani.co.kr,general_news,1,1,2860,27
lavanguardia.com,general_news,1,1,2855,27
fnp.de,general_news,1,1,2837,27
wa.de,general_news,1,1,2832,27
naftemporiki.gr,general_news,1,1,2822,27
in.gr,general_news,1,1,2813,27
jawapos.com,general_news,1,1,2812,27
vz.ru,general_news,1,1,2808,27
t-online.de,general_news,1,1,2795,27
newsbeast.gr,general_news,1,1,2785,27
punchng.com,general_news,1,1,2785,27
ratopati.com,general_news,1,1,2783,27
tuoitre.vn,general_news,1,1,2771,27
schwaebische.de,general_news,1,1,2764,27
informer.rs,general_news,1,1,2761,27
newtalk.tw,general_news,1,1,2755,27
boerse-express.com,general_news,1,1,2749,27
finanzen.ch,general_news,1,1,2738,27
pravda.ru,general_news,1,1,2733,27
vedomosti.ru,general_news,1,1,2731,27
cadena3.com,general_news,1,1,2727,27
newsit.gr,general_news,1,1,2717,27
ycwb.com,general_news,1,1,2702,27
chip.de,general_news,1,1,2683,27
tienphong.vn,general_news,1,1,2667,27
sozcu.com.tr,general_news,1,1,2665,27
wallstreet-online.de,general_news,1,1,2658,27
laprovincia.es,general_news,1,1,2644,27
tn.com.ar,general_news,1,1,2624,27
korrespondent.net,general_news,1,1,2621,27
bfmtv.com,general_news,1,1,2592,27
business24.ro,general_news,1,1,2586,27
cts.com.tw,general_news,1,1,2579,27
mk.ru,general_news,1,1,2567,27
sbctv.gr,general_news,1,1,2566,27
newsbomb.gr,general_news,1,1,2552,27
yangtse.com,general_news,1,1,2549,27
handelsblatt.com,general_news,1,1,2546,27
ksta.de,general_news,1,1,2543,27
winnipegfreepress.com,general_news,1,1,2537,27
tsn.ua,general_news,1,1,2533,27
farodevigo.es,general_news,1,1,2523,27
orientaldaily.com.my,general_news,1,1,2511,27
tarunmitra.in,general_news,1,1,2511,27
yeniakit.com.tr,general_news,1,1,2510,27
ensonhaber.com,general_news,1,1,2509,27
freemalaysiatoday.com,general_news,1,1,2507,27
ziare.com,general_news,1,1,2498,27
em.com.br,general_news,1,1,2497,27
lanacion.com.ar,general_news,1,1,2496,27
